developer,votes
Lohsoft,360
Juicy Beast Studio,360
GexagonVR,358
Southend,358
Nate Schmold,357
Sweet Dog Studios,354
Acclaim Studios Teeside,354
Muzzy Lane,353
Nussoft,353
Gas Powered Games,352
White Owls Inc.,350
Fresh3D,349
Studio Saizensen,348
Untame,348
Mehsoft,347
"FAT BOMB STUDIOS, LLC",346
Andreas Hager Gaming,345
Sobaka Studio,345
HyperReuts,345
One Hamsa,344
2 Zombie Games,344
Borne Games,344
GK,343
FourbitFriday,343
Angry Demon Studio,341
Mindware Studios,341
Titans,341
PixelGreeds,341
Agharta Studio,340
SpaceCan,340
MythoLogic Interactive,338
Crazyant,338
Digital Dreams Entertainment LLC,337
Deion Mobile,337
Alexey Roenko,336
Totally Games,336
Super Duper Garrett Cooper,335
Andrew Morrish,334
"APLUS Co., Ltd",332
NodziGames,331
INTO GAMES,329
Rage Software,329
Bithell Games,329
Digital Leisure Inc.,329
EXAMU,329
"Bimboosoft Co.,Ltd.",327
Mad Fellows,327
Runewaker,327
"Fatbot Games, s. r. o.",326
Leiting Interactive,325
Cipher Prime Studios,323
2DArray,320
KX Games,320
GAME FREAK inc.,319
DreamPunks,319
Great Cogs,319
Ankama Games,318
Hostel Games,318
Rubycone,318
Rasul Mono,317
Atypical Games,316
Teknopants,316
ACE MADDOX,314
Altfuture,314
Sparkypants Studios LLC,314
Trickster Games,313
Parallax,313
Stately Snail,313
Albino Moose Games,313
Overflow,310
Pyramid,310
КиКо,310
SITER SKAIN,309
Studio TeamShuriken,308
Dreadbit,308
Stirfire Studios,307
ENTERi,307
Tasty Delicious Games,307
Daniel Mercier,307
NetDragon Websoft Inc.,307
Robotality,306
Anatoliy Loginovskikh,305
Just Fishing LLC,305
Robert Alvarez,303
Bernt Andreas Eide,302
WolfgangIs,302
Nowhere Studios,301
Green Dinosaur Games,301
Outcorp,300
Oleg Skutte,299
Hellbent Games,297
Chainsawesome Games,296
Adam Spragg,296
Prospect Games,295
Wish Fang,295
Laughing Jackal LTD,293
IndieLeague Studio,292
Guard Crush Games,292
No Matter Studios,292
EasyGameStation,292
Vector Unit,291
MIROWIN,290
Cyril Megem,289
"Hassey Enterprises, Inc.",289
STUDIO HG,288
Enter Skies,288
Zenz VR,287
System Erasure,285
Tuatara Games,285
Frank Lucas,285
Larkon Studio,283
Neat Corporation,283
Bane Games,282
Ivanovich Games,282
Anthony Case,280
Farjay.com,279
Extreme Developers,278
EXAMU Inc.,278
HeroCraft,277
La Moutarde,276
Mudpike,275
Ironsun Studios,273
Redro Games,273
Juvty Worlds Ltd.,272
Idigicon,271
DoubleMoose Games,270
Dymchick1,270
Toffee Games,269
SONNORI Corp,269
Pivotal Games,269
Buckshot Software,268
Stray Fawn Studio,268
DEXINT GAMES,268
Ediogames,268
Iteration 11,268
Walnut LLC,267
Citeremis Inc.,267
Feperd Games,266
Anarteam,265
Gaming Minds Studios,265
Boobs Dev,264
Social Loner Studios,264
SlimeSmile,263
Linus Fredriksson,263
DOG HOGGLER,262
Tolga Ay,261
ATOMIC BREATH,261
Luden.io,261
PixelMouse,260
Invictus Games Ltd.,260
yeo,259
Red Winter Software,259
